gmina id,gmina name,latitude,longitude,avg income,% PiS Votes,registered voters,ballots counted,powiat,wojewodztwo
812013,S?awa,51.87017495,16.0249742,846,39.98325309,10074,4777,wschowski,lubuskie
3005043,Rakoniewice,52.17089524,16.22612296,592,31.74815807,10073,4479,grodziski,wielkopolskie
1403042,Garwolin,51.89247978,21.5579194,806,54.44803882,10065,4946,garwoli?ski,mazowieckie
801073,Witnica,52.68505278,14.86412518,676,29.27638399,10048,4823,gorzowski,lubuskie
1006113,Tuszyn,51.58100626,19.53477384,752,38.94261767,10043,4653,?¢dzki wschodni,?¢dzkie
1425132,Zakrzew,51.44909595,21.0222191,613,52.91195615,9989,5838,radomski,mazowieckie
1605013,Gogolin,50.51193815,18.04725038,726,14.25954997,9979,3822,krapkowicki,opolskie
1002113,?ychlin,52.23912386,19.6516058,587,32.58399807,9965,4137,kutnowski,?¢dzkie
1404022,Gostynin,52.4257948,19.42582423,448,38.87198215,9952,4929,gostyni?ski,mazowieckie
2817062,Szczytno,53.54944984,21.03419997,557,27.40599108,9917,4707,szczycie?ski,warmi?sko-mazurskie
1820013,Baran¢w Sandomierski,50.45687984,21.58296149,489,61.3960114,9903,4914,tarnobrzeski,podkarpackie
2807063,Susz,53.71451419,19.37867352,403,29.14583786,9871,4601,i?awski,warmi?sko-mazurskie
2606043,Opat¢w,50.78962746,21.41508259,586,38.94775301,9870,5474,opatowski,?wi?tokrzyskie
614092,Pu?awy,51.45076055,21.89334912,671,47.0195915,9855,4798,pu?awski,lubelskie
3217052,Wa?cz,53.28870444,16.44900184,472,34.22770123,9842,4137,wa?ecki,zachodniopomorskie
2401062,Psary,50.38836067,19.11892203,1318,23.51346117,9833,5163,b?dzi?ski,?l?skie
1216143,Zakliczyn,49.83885886,20.79549049,361,60.89630931,9832,4552,tarnowski,ma?opolskie
2401042,Bobrowniki,50.40876209,19.03249551,1182,25.54244385,9832,5254,b?dzi?ski,?l?skie
2011013,D?browa Bia?ostocka,53.63034788,23.31318818,396,58.37950139,9823,4332,sok¢lski,podlaskie
401011,Aleksandr¢w Kujawski,52.88342879,18.69563402,550,25.92592593,9808,4536,aleksandrowski,kujawsko-pomorskie
1210142,Podegrodzie,49.60022044,20.56920438,447,66.56232738,9808,5431,nowos?decki,ma?opolskie
2807032,I?awa,53.64678481,19.56906789,576,28.8166215,9798,4428,i?awski,warmi?sko-mazurskie
405011,Golub-Dobrzy?,53.11030636,19.05400287,744,24.63279079,9791,5038,golubsko-dobrzy?ski,kujawsko-pomorskie
803053,Skwierzyna,52.64827318,15.59066248,640,25.37537538,9773,3996,mi?dzyrzecki,lubuskie
